listing_id,date
5651579,5/1/2016
5651579,7/28/2016
5651579,8/7/2016
5651579,8/12/2016
5651579,8/26/2016
5651579,9/5/2016
5651579,9/14/2016
5651579,9/19/2016
5651579,9/23/2016
5651579,10/1/2016
5651579,10/4/2016
5651579,10/6/2016
5651579,10/10/2016
5651579,10/14/2016
5651579,10/17/2016
5651579,10/17/2016
5651579,10/21/2016
5651579,10/23/2016
5651579,10/27/2016
5651579,10/30/2016
5651579,11/12/2016
5651579,11/13/2016
5651579,11/18/2016
5651579,11/27/2016
5651579,12/3/2016
5651579,12/4/2016
5651579,12/19/2016
5651579,1/1/2017
5651579,1/5/2017
5651579,1/7/2017
5651579,1/17/2017
5651579,1/19/2017
5651579,1/21/2017
5651579,1/25/2017
5651579,1/26/2017
5651579,1/30/2017
5651579,2/1/2017
5651579,2/4/2017
5651579,2/17/2017
5651579,2/19/2017
5651579,2/23/2017
5651579,2/25/2017
5651579,2/26/2017
5651579,3/1/2017
5651579,3/2/2017
5651579,3/5/2017
5651579,3/11/2017
5651579,3/12/2017
5651579,3/13/2017
5651579,3/14/2017
5651579,3/24/2017
5651579,3/30/2017
5651579,4/1/2017
5651579,4/2/2017
5651579,4/8/2017
5651579,4/9/2017
5651579,4/25/2017
5651579,4/26/2017
5651579,4/30/2017
5651579,5/8/2017
5651579,5/12/2017
5651579,5/14/2017
5651579,5/19/2017
5651579,5/28/2017
5651579,5/30/2017
5651579,6/1/2017
5651579,6/3/2017
5651579,6/4/2017
5651579,6/11/2017
5651579,6/12/2017
5651579,6/15/2017
5651579,6/16/2017
5651579,6/18/2017
5651579,6/22/2017
5651579,6/26/2017
5651579,7/2/2017
5651579,7/13/2017
5651579,7/18/2017
5651579,7/21/2017
5651579,7/27/2017
5651579,7/28/2017
5651579,7/31/2017
5651579,8/12/2017
5651579,8/14/2017
5651579,8/17/2017
5651579,8/25/2017
5651579,8/27/2017
5651579,8/28/2017
5651579,9/3/2017
5651579,11/19/2017
5651579,11/22/2017
5651579,11/28/2017
5651579,12/7/2017
5651579,12/12/2017
5651579,12/13/2017
5651579,12/15/2017
5651579,12/19/2017
5651579,12/26/2017
5651579,12/27/2017
5651579,12/28/2017
5651579,12/30/2017
5651579,12/31/2017
5651579,1/7/2018
5651579,1/9/2018
5651579,1/10/2018
5651579,1/11/2018
5651579,1/18/2018
5651579,1/21/2018
5651579,1/23/2018
5651579,1/24/2018
5651579,1/25/2018
5651579,1/30/2018
5651579,2/1/2018
5651579,2/3/2018
5651579,2/6/2018
5651579,2/8/2018
5651579,2/14/2018
5651579,2/16/2018
5651579,2/19/2018
5651579,2/20/2018
5651579,2/24/2018
5651579,3/3/2018
5651579,3/4/2018
5651579,3/6/2018
5651579,3/8/2018
5651579,3/11/2018
5651579,3/17/2018
5651579,3/18/2018
5651579,3/19/2018
5651579,4/1/2018
5651579,4/10/2018
5651579,4/12/2018
5651579,4/13/2018
5651579,4/15/2018
5651579,4/18/2018
5651579,4/19/2018
5651579,4/20/2018
5651579,4/26/2018
5651579,4/29/2018
5651579,5/4/2018
5651579,5/20/2018
5651579,5/21/2018
5651579,5/24/2018
5651579,5/30/2018
5651579,6/2/2018
5651579,6/3/2018
5651579,6/4/2018
5651579,6/6/2018
5651579,6/7/2018
5651579,6/10/2018
5651579,6/12/2018
5651579,6/14/2018
5651579,6/15/2018
5651579,6/17/2018
5651579,6/17/2018
5651579,6/23/2018
5651579,6/24/2018
5651579,6/27/2018
5651579,7/8/2018
5651579,7/11/2018
5651579,7/22/2018
5651579,7/25/2018
5651579,7/28/2018
5651579,7/30/2018
5651579,8/9/2018
5651579,8/10/2018
5651579,8/14/2018
5651579,8/19/2018
5651579,8/21/2018
5651579,8/23/2018
5651579,8/24/2018
5651579,8/29/2018
5651579,8/30/2018
5651579,9/4/2018
5651579,9/9/2018
5651579,9/16/2018
5651579,9/17/2018
5651579,9/18/2018
5651579,9/28/2018
5651579,9/29/2018
5651579,9/30/2018
5651579,10/1/2018
5651579,10/4/2018
5651579,10/6/2018
5651579,10/8/2018
5651579,10/16/2018
5651579,10/18/2018
5651579,10/20/2018
5651579,10/23/2018
5651579,10/25/2018
5651579,10/30/2018
5651579,11/2/2018
5651579,11/8/2018
5651579,11/11/2018
5651579,11/18/2018
5651579,11/19/2018
5651579,11/25/2018
5651579,12/4/2018
5651579,12/6/2018
5651579,12/7/2018
5651579,12/14/2018
5651579,12/16/2018
5651579,12/20/2018
5651579,12/23/2018
5651579,12/29/2018
5651579,1/5/2019
5651579,1/10/2019
5651579,1/12/2019
5651579,1/15/2019
5651579,1/17/2019
5651579,1/18/2019
5651579,1/19/2019
5651579,1/28/2019
5651579,1/30/2019
5651579,1/31/2019
5651579,2/2/2019
5651579,2/4/2019
5651579,2/12/2019
5651579,2/14/2019
5651579,2/16/2019
5651579,2/18/2019
5651579,2/25/2019
5651579,3/6/2019
5651579,3/10/2019
5651579,3/11/2019
5651579,3/12/2019
5651579,3/18/2019
5651579,3/19/2019
5651579,3/20/2019
5651579,3/22/2019
5651579,3/23/2019
5651579,3/25/2019
5651579,3/31/2019
5651579,4/1/2019
5651579,4/6/2019
5651579,4/12/2019
5651579,4/13/2019
5651579,4/14/2019
5651579,4/19/2019
5651579,4/21/2019
5651579,4/22/2019
5651579,4/26/2019
5651579,5/4/2019
5651579,5/6/2019
5651579,5/8/2019
5651579,5/9/2019
5651579,5/11/2019
5651579,5/15/2019
5651579,5/17/2019
5651579,5/29/2019
5651579,6/2/2019
5651579,6/10/2019
5651579,6/14/2019
5651579,6/15/2019
5651579,6/18/2019
5651579,6/20/2019
5651579,6/23/2019
